t,x,y,z,qw,qx,qy,qz,gripper_trigger
0.845049,-0.0659933,-0.00164161,0.179947,0.506194,-0.507389,-0.465483,0.519279,0
0.849967,-0.0659401,-0.00164246,0.179959,0.506194,-0.507389,-0.465483,0.519279,0
0.854994,-0.0659401,-0.00164246,0.179959,0.5058,-0.507166,-0.46574,0.51965,0
0.85997,-0.0659401,-0.00164246,0.179959,0.5058,-0.507166,-0.46574,0.51965,0
0.864996,-0.0659401,-0.00164246,0.179959,0.5058,-0.507166,-0.46574,0.51965,0
0.870049,-0.0658869,-0.00164332,0.17997,0.5058,-0.507166,-0.46574,0.51965,0
0.875065,-0.0658869,-0.00164332,0.17997,0.506099,-0.506818,-0.465434,0.519971,0
0.880019,-0.0658869,-0.00164332,0.17997,0.506494,-0.50704,-0.465177,0.519601,0
0.885056,-0.0658869,-0.00164332,0.17997,0.506099,-0.506818,-0.465434,0.519971,0
0.890042,-0.0658869,-0.00164332,0.17997,0.506099,-0.506818,-0.465434,0.519971,0
0.895046,-0.0658338,-0.00164417,0.179982,0.506099,-0.506818,-0.465434,0.519971,0
0.900042,-0.0658338,-0.00164417,0.179982,0.505767,-0.507115,-0.46511,0.520295,0
0.904992,-0.0658338,-0.00164417,0.179982,0.506099,-0.506818,-0.465434,0.519971,0
0.909972,-0.0658338,-0.00164417,0.179982,0.505767,-0.507115,-0.46511,0.520295,0
0.915036,-0.0658338,-0.00164417,0.179982,0.505767,-0.507115,-0.46511,0.520295,0
0.919968,-0.0657806,-0.00164502,0.179993,0.506099,-0.506818,-0.465434,0.519971,0
0.925032,-0.0657806,-0.00164502,0.179993,0.505767,-0.507115,-0.46511,0.520295,0
0.93,-0.0657806,-0.00164502,0.179993,0.506099,-0.506818,-0.465434,0.519971,0
0.934975,-0.0657806,-0.00164502,0.179993,0.506099,-0.506818,-0.465434,0.519971,0
0.939979,-0.0657806,-0.00164502,0.179993,0.506099,-0.506818,-0.465434,0.519971,0
0.944981,-0.0657274,-0.00164587,0.180005,0.505767,-0.507115,-0.46511,0.520295,0
0.949978,-0.0657274,-0.00164587,0.180005,0.506794,-0.506691,-0.464871,0.519923,0
0.955043,-0.0657274,-0.00164587,0.180005,0.506494,-0.50704,-0.465177,0.519601,0
0.960028,-0.0657274,-0.00164587,0.180005,0.506099,-0.506818,-0.465434,0.519971,0
0.96497,-0.0657274,-0.00164587,0.180005,0.506399,-0.506469,-0.465128,0.520293,0
0.970024,-0.0657274,-0.00164587,0.180005,0.506399,-0.506469,-0.465128,0.520293,0
0.974972,-0.0656742,-0.00164673,0.180016,0.506794,-0.506691,-0.464871,0.519923,0
0.979975,-0.0656742,-0.00164673,0.180016,0.506494,-0.50704,-0.465177,0.519601,0
0.985024,-0.065621,-0.00164758,0.180027,0.506099,-0.506818,-0.465434,0.519971,0
0.989967,-0.065621,-0.00164758,0.180027,0.506794,-0.506691,-0.464871,0.519923,0
0.99503,-0.0655679,-0.00164843,0.180039,0.506399,-0.506469,-0.465128,0.520293,0
1.00004,-0.0655679,-0.00164843,0.180039,0.506794,-0.506691,-0.464871,0.519923,0
1.00504,-0.0655147,-0.00164929,0.18005,0.506067,-0.506766,-0.464804,0.520617,0
1.01006,-0.0655147,-0.00164929,0.18005,0.506399,-0.506469,-0.465128,0.520293,0
1.01502,-0.0654615,-0.00165014,0.180062,0.506399,-0.506469,-0.465128,0.520293,0
1.02004,-0.0654615,-0.00165014,0.180062,0.506399,-0.506469,-0.465128,0.520293,0
1.02505,-0.0654082,-0.00165099,0.180073,0.506399,-0.506469,-0.465128,0.520293,0
1.03004,-0.0654082,-0.00165099,0.180073,0.506399,-0.506469,-0.465128,0.520293,0
1.03499,-0.065355,-0.00165185,0.180084,0.506399,-0.506469,-0.465128,0.520293,0
1.04002,-0.0653018,-0.0016527,0.180096,0.506399,-0.506469,-0.465128,0.520293,0
1.04499,-0.0653018,-0.0016527,0.180096,0.506067,-0.506766,-0.464804,0.520617,0
1.05001,-0.0652486,-0.00165355,0.180107,0.506399,-0.506469,-0.465128,0.520293,0
1.05503,-0.0651954,-0.00165441,0.180118,0.506004,-0.506247,-0.465385,0.520664,0
1.06003,-0.0651421,-0.00165526,0.180129,0.506004,-0.506247,-0.465385,0.520664,0
1.06504,-0.0650889,-0.00165612,0.180141,0.506004,-0.506247,-0.465385,0.520664,0
1.07007,-0.0650889,-0.00165612,0.180141,0.505672,-0.506544,-0.465061,0.520987,0
1.07502,-0.0650357,-0.00165697,0.180152,0.505672,-0.506544,-0.465061,0.520987,0
1.08001,-0.0649824,-0.00165782,0.180163,0.505672,-0.506544,-0.465061,0.520987,0
1.0851,-0.0649292,-0.00165868,0.180174,0.506004,-0.506247,-0.465385,0.520664,0
1.09,-0.0649292,-0.00165868,0.180174,0.505672,-0.506544,-0.465061,0.520987,0
1.09504,-0.0648759,-0.00165953,0.180185,0.506004,-0.506247,-0.465385,0.520664,0
1.10001,-0.0648227,-0.00166039,0.180196,0.506004,-0.506247,-0.465385,0.520664,0
1.10508,-0.0647694,-0.00166124,0.180207,0.506004,-0.506247,-0.465385,0.520664,0
1.11003,-0.0647694,-0.00166124,0.180207,0.506004,-0.506247,-0.465385,0.520664,0
1.11497,-0.0647161,-0.00166209,0.180218,0.505672,-0.506544,-0.465061,0.520987,0
1.12004,-0.0646629,-0.00166295,0.18023,0.506004,-0.506247,-0.465385,0.520664,0
1.12503,-0.0646096,-0.0016638,0.180241,0.506004,-0.506247,-0.465385,0.520664,0
1.13001,-0.0645563,-0.00166466,0.180252,0.506004,-0.506247,-0.465385,0.520664,0
1.13501,-0.064503,-0.00166551,0.180263,0.506004,-0.506247,-0.465385,0.520664,0
1.14004,-0.064503,-0.00166551,0.180263,0.506004,-0.506247,-0.465385,0.520664,0
1.14505,-0.0644497,-0.00166637,0.180273,0.506004,-0.506247,-0.465385,0.520664,0
1.14996,-0.0643964,-0.00166722,0.180284,0.506004,-0.506247,-0.465385,0.520664,0
1.15507,-0.0643431,-0.00166808,0.180295,0.506004,-0.506247,-0.465385,0.520664,0
1.16004,-0.0642898,-0.00166893,0.180306,0.506004,-0.506247,-0.465385,0.520664,0
1.16503,-0.0642365,-0.00166979,0.180317,0.505672,-0.506544,-0.465061,0.520987,0
1.17004,-0.0642365,-0.00166979,0.180317,0.506004,-0.506247,-0.465385,0.520664,0
1.17503,-0.0641832,-0.00167064,0.180328,0.506004,-0.506247,-0.465385,0.520664,0
1.18003,-0.0641299,-0.0016715,0.180339,0.506004,-0.506247,-0.465385,0.520664,0
1.18499,-0.0640766,-0.00167235,0.18035,0.506004,-0.506247,-0.465385,0.520664,0
1.19003,-0.0640766,-0.00167235,0.18035,0.506004,-0.506247,-0.465385,0.520664,0
1.195,-0.0640125,-0.00167338,0.180307,0.505764,-0.506437,-0.46496,0.521092,0
1.19999,-0.0639592,-0.00167423,0.180318,0.506098,-0.506139,-0.465283,0.520769,0
1.20509,-0.0639059,-0.00167509,0.180329,0.50616,-0.506658,-0.464702,0.520722,0
1.21003,-0.0638525,-0.00167594,0.180339,0.506098,-0.506139,-0.465283,0.520769,0
1.21504,-0.0637992,-0.0016768,0.18035,0.505764,-0.506437,-0.46496,0.521092,0
1.21998,-0.0637992,-0.0016768,0.18035,0.505764,-0.506437,-0.46496,0.521092,0
1.22504,-0.0636925,-0.00167851,0.180371,0.506098,-0.506139,-0.465283,0.520769,0
1.23009,-0.0636925,-0.00167851,0.180371,0.506098,-0.506139,-0.465283,0.520769,0
1.23501,-0.0636391,-0.00167937,0.180382,0.506098,-0.506139,-0.465283,0.520769,0
1.23996,-0.0635858,-0.00168022,0.180392,0.506098,-0.506139,-0.465283,0.520769,0
1.24502,-0.0635324,-0.00168108,0.180403,0.506098,-0.506139,-0.465283,0.520769,0
